,City Name,Cloud,Country,Date,Humidity,Latitude,Longitude,Maximum Temperature,Wind Speed
0,Khatanga,48,RU,1531977064,78,71.98,102.47,42.33,17.38
1,Tuktoyaktuk,75,CA,1531972800,48,69.44,-133.03,64.4,12.75
2,Victoria,75,BN,1531974600,75,5.28,115.24,91.4,3.36
3,Bodden Town,0,KY,1531976784,99,19.28,-81.25,84.09,8.43
4,Cermik,0,TR,1531975800,36,38.14,39.45,77.0,3.36
5,Naze,80,NG,1531977080,97,5.43,7.07,69.51,3.29
6,Alofi,92,NU,1531972800,88,-19.06,-169.92,78.8,4.7
7,Thompson,75,CA,1531972800,68,55.74,-97.86,64.4,4.7
8,Carazinho,0,BR,1531977085,69,-28.3,-52.79,60.42,10.0
9,Cumberland,1,US,1531976160,72,41.97,-71.43,64.4,4.7
10,Hilo,90,US,1531973940,83,19.71,-155.08,78.8,18.72
11,Saint-Philippe,1,CA,1531976100,100,45.36,-73.48,64.4,2.51
12,Saint-Ambroise,0,FR,1531976400,93,47.25,-0.65,59.0,2.95
13,Longyearbyen,75,NO,1531975800,93,78.22,15.63,44.6,5.82
14,Vanavara,24,RU,1531977095,54,60.35,102.28,69.42,3.74
15,Bluff,0,AU,1531976973,40,-23.58,149.07,74.01,11.45
16,Paracuru,75,BR,1531972800,78,-3.41,-39.03,80.6,11.41
17,Rio Grande,0,BR,1531976841,84,-32.03,-52.1,60.69,8.43
18,Wyndham,20,GB,1531975800,82,51.61,-3.54,57.2,3.36
19,Vaini,100,IN,1531977102,99,15.34,74.49,71.49,9.44
20,Bredasdorp,92,ZA,1531972800,51,-34.53,20.04,59.0,2.24
21,Prince Rupert,75,CA,1531972800,87,54.32,-130.32,55.4,5.82
22,Salalah,90,OM,1531972200,100,17.01,54.1,75.2,4.7
23,Sayyan,32,YE,1531977108,50,15.17,44.32,70.86,3.62
24,Chokurdakh,44,RU,1531976978,59,70.62,147.9,53.31,19.06
25,Nemuro,75,JP,1531972800,77,43.32,145.57,69.8,11.41
26,Butaritari,100,KI,1531977114,100,3.07,172.79,84.54,10.22
27,Carnarvon,0,ZA,1531977115,72,-30.97,22.13,36.48,9.55
28,Nantucket,1,US,1531974900,87,41.28,-70.1,62.6,3.36
29,Esperance,20,TT,1531972800,94,10.24,-61.45,77.0,5.75
30,Avarua,75,CK,1531976400,94,-21.21,-159.78,75.2,4.7
31,Orangeburg,75,US,1531976160,88,33.49,-80.86,80.6,3.36
32,Arona,0,IT,1531975800,72,45.76,8.56,69.8,6.93
33,Pucallpa,40,PE,1531972800,94,-8.38,-74.54,77.0,2.06
34,Honningsvag,0,NO,1531974000,64,70.98,25.97,68.0,12.75
35,Rikitea,0,PF,1531976965,100,-23.12,-134.97,72.39,25.77
36,Tasiilaq,48,GL,1531975800,80,65.61,-37.64,39.2,3.36
37,Sidi Ali,20,DZ,1531977128,91,36.1,0.42,66.63,2.84
38,Kapaa,75,US,1531972560,88,22.08,-159.32,84.2,16.11
39,Mutoko,0,ZW,1531977131,72,-17.4,32.23,52.86,4.18
40,Ushuaia,0,AR,1531972800,80,-54.81,-68.31,30.2,2.84
41,Kruisfontein,0,ZA,1531977135,59,-34.0,24.73,65.1,11.01
42,Mataura,0,NZ,1531977136,95,-46.19,168.86,43.23,3.62
43,Hithadhoo,80,MV,1531977138,100,-0.6,73.08,80.22,4.74
44,Mahebourg,40,MU,1531972800,60,-20.41,57.7,71.6,19.46
45,Iqaluit,90,CA,1531972800,81,63.75,-68.52,44.6,2.24
46,Puerto Ayora,76,EC,1531977142,100,-0.74,-90.35,70.95,15.7
47,Punta Arenas,0,CL,1531972800,92,-53.16,-70.91,19.4,4.7
48,Svetlaya,92,RU,1531977145,95,46.54,138.33,58.71,9.1
49,Walvis Bay,0,NA,1531977146,73,-22.95,14.51,68.43,21.07
50,Tautira,20,PF,1531976400,78,-17.73,-149.15,77.0,2.24
51,Cidreira,0,BR,1531977152,79,-30.17,-50.22,62.13,7.09
52,Cadillac,1,US,1531975620,100,44.25,-85.4,57.2,2.39
53,Lagoa,0,PT,1531976400,64,37.14,-8.45,68.0,6.93
54,Ishigaki,75,JP,1531972800,84,24.34,124.16,86.0,17.22
55,Cockburn Town,88,TC,1531976989,100,21.46,-71.14,80.4,19.39
56,Crotone,0,IT,1531977205,96,39.09,17.12,78.33,6.64
57,Caraballeda,76,VE,1531977207,100,10.61,-66.85,74.46,5.19
58,Kirkwall,48,GB,1531975800,87,58.98,-2.96,57.2,6.93
59,Kailua,90,US,1531975320,83,21.39,-157.74,82.4,14.99
60,Wembley,56,GB,1531975800,87,51.55,-0.3,59.0,1.12
61,Torbay,90,CA,1531976400,100,47.66,-52.73,68.0,21.92
62,Isangel,0,VU,1531977011,100,-19.55,169.27,70.95,15.82
63,Itoman,20,JP,1531976160,66,26.12,127.67,87.8,16.11
64,Buchanan,75,LR,1531976400,94,5.88,-10.05,75.2,3.96
65,Lucapa,0,AO,1531977157,55,-8.42,20.74,58.98,8.43
66,Cape Town,20,ZA,1531973160,37,-33.93,18.42,68.0,16.11
67,Wer,20,IN,1531977226,80,27.0,77.17,91.2,12.46
68,Mount Isa,0,AU,1531976400,14,-20.73,139.49,84.2,9.17
69,Port Alfred,0,ZA,1531977229,86,-33.59,26.89,61.5,8.43
70,Ponta do Sol,0,BR,1531977230,86,-20.63,-46.0,49.62,3.29
